0,Alergologija,PHADIATOP INFANT - ALERGIJA,10.0-20.0,mol/l,2520.0,
1,Alergologija,PHADIATOP (ALATOP) - ALERGENI,10.0-20.0,mol/l,2020.0,
2,Alergologija,MIX GRINJE - PRAŠINA HX2,10.0-20.0,mol/l,2420.0,
3,Imunohemija,LEPTIN,10.0-20.0,mol/l,1210.0,
4,Imunohemija,ADIPONEKTIN,10.0-20.0,mol/l,3820.0,
5,Imunohemija,VITAMIN B2,10.0-20.0,mol/l,1810.0,
6,Genetika,OČINSTVO- OTAC+DETE,10.0-20.0,mol/l,25000.0,
7,Genetika,LAKTOZNA INTOLERANCIJA / PCR,10.0-20.0,mol/l,5100.0,
8,Genetika,NUTRIGENETIČKE KONSULTACIJE,10.0-20.0,mol/l,5000.0,
9,Biohemija,KREATININ,10.0-20.0,mol/l,140.0,
10,Biohemija,HOLESTEROL,10.0-20.0,mol/l,140.0,
11,Biohemija,HDL,10.0-20.0,mol/l,150.0,
12,Imunologija,IMUNOELEKTROFOREZA U URIN,10.0-20.0,mol/l,3020.0,
13,Imunologija,IMUNOELEKTROFOREZA U SERUMU,10.0-20.0,mol/l,3020.0,
14,Imunologija,C1Q KOMPLEMENT,10.0-20.0,mol/l,1100.0,
15,Serologija,HAV - IGG AT,10.0-20.0,mol/l,1610.0,
16,Serologija,INFLUENZA A - IGM AT,10.0-20.0,mol/l,1310.0,
17,Serologija,WEST NILE VIRUS IGM,10.0-20.0,mol/l,1510.0,
